frequency|word
1|"""Asrlar"
13|'s
2|(Stegomyia)
2|(Theobald)
2|-
3|1920-2006
2|1920-2006,
5|1922-1997
4|1st
2|2
2|2008-09
3|2008-09,
1|29
1|4th
5|:
200|?
1|Adderley,
1|Adventure
2|Aedes
1|Affecting
2|America
4|America:
1|Analytical
1|Antarctica
1|Antoninus
1|Arthur
1|Asia
2|Augustus
1|Aurelius
1|Australia
3|Austria
1|Babington
4|Baron
5|Bees:
1|Behavior
2|Benjamin
1|Bloody
1|Boys
1|Brandreth
1|Braunschweig
2|Brazil
5|Brentford
1|Britain
2|Brough
1|Buckinghamshire
1|Buddhism
1|Bufton
4|Captain
1|Carrie
2|Charles
1|Chasseur
1|Chemicals
1|Chicheley
1|Chippendale
3|Christianity
5|Citizens
5|City
4|Civil
1|Coleridge
1|Coleridge,
1|Colquhoun
1|Corporation,
1|Crimean
1|Cuba
1|Culture
1|Current
3|Democratic
1|Detecting
1|Devices
1|Dino
1|Division,
1|Dixon
1|Domhnall
1|Don't
1|Dwight
2|Earl
1|Eleanor
2|Elizabeth
3|England
5|English
1|Erich
1|Europe
1|Evaluation
1|Eye
5|F.C.
5|FC,
2|Ferrey
1|Festival
3|France
1|Francisco
1|Friedrich
1|Gale
2|Gas
1|Gell
1|Generation
2|George
5|Germany
1|Go
1|Gogol
1|Grant
1|Great
1|HHE
1|HHE-77-34-471,
1|Hansom
1|Heart
1|Helsinki
1|Henry
1|Hewett
1|Hobart,
1|House
1|Howland
1|Huesca
1|I,
2|II
1|Indiana
1|Iraq
1|Israel
3|John
2|Joseph
1|Kennedy
3|Kingdom
1|Le
1|Like
1|Lyon
1|Macaulay
1|Macaulay,
1|Madrid
1|Manhunt
1|Mar
1|Marcus
1|Mason
1|Methods
1|Midwest
1|Mudford
1|Murder
1|NIOSH
1|National
1|Netherlands
1|New
1|Nikolai
1|Norton
1|O'Shaughnessy
1|Occupational
1|Octopus
5|PFA
3|Party
1|Pearce
1|Peter
2|Poland
1|Portage,
1|Poseidon
2|Pugin
1|Pussy
1|Quintin
1|Raeder
1|Rage:
1|Revista
1|Riemer
1|Riot
3|Robert
1|Roger
1|"Sadosi"""
1|San
1|Scratchley
1|Scream
1|Set
1|Shaw
1|Simons
2|Smyth
3|Social
1|Soviet
1|Spain
1|Stapleton
2|States
2|Steel
1|Storm
1|Swansea
1|System
1|Systems
1|Ten
10|The
4|Thomas
1|Time
5|Timeless
1|Traditional
2|Turkey
2|Twelve
1|Tübingen
2|Uganda
1|Union
5|United
1|Vancouver
1|Vivian,
6|War
1|Watson
29|What
1|Wheel
171|Which
1|Whitney
1|Wilhelm
4|William
6|York
2|Zika
1|Zinc
1|Zéro
35|a
6|about
2|above
1|acid
1|acid,
3|actor
1|administrative
2|africanus
1|allyl
16|and
1|architect
10|are
24|art
37|article
1|articles
69|as
21|association
2|baseball
78|based
1|bicycle
3|bishop
7|book
1|breast
1|bulletin
1|cancer
1|chemical
1|chromic
27|collectable
21|collectables
1|country
2|curling
1|de
1|determination
3|discussed
2|dog
1|driver
4|electronic
1|encyclopedia
1|ether
1|ethers
1|evolution
2|film
1|fish
21|football
5|footballers'
2|for
2|forest
3|from
21|genre
7|genres
2|glycidyl
1|guidelines
4|harpsichord
45|has
24|have
1|hazards,
1|health
1|high
2|human
10|in
1|intelligence
2|internet
17|is
2|isolations
45|its
7|journalism
3|journalist
3|lawyer
16|literary
1|literature
1|machine
3|magazine
84|main
44|mainly
4|media
5|minstermen
2|musician
1|no.
3|occupations
81|of
78|on
1|organist
1|organization
1|oxide
2|painter
1|paracetamol
1|periodical
3|photographer
4|piano
19|player
8|politician
1|portmanteau
40|primarily
29|principal
4|program
1|punk
1|racecar
1|racing
1|release
1|report
1|road
1|rock
1|safety
1|school
1|student,
1|subdivision
39|subject
5|subjects
1|suicide
1|sulfuric
2|taken
4|television
1|text
1|texts
24|the
24|their
70|topic
2|topics
2|virus
2|war
73|was
31|were
15|who
15|who's
1|word
29|work
16|works
6|writer
