frequency|word
1|&
1|(Oder)
1|16th
200|?
1|AG
1|Abrams
1|Abroad
1|Academy
1|Ada
2|Agency
1|Ahmedabad
1|Air
1|Aires
1|Albania
1|Alexandria
1|Allied
13|America
1|American
3|Amsterdam
1|Andrews
3|Angeles
1|Aomori
1|Appleton
1|Arkitektkontor
1|Arts
1|Asia
1|Assembly
4|Australia
1|Avex
1|B'Nefesh
1|Bank
1|Baseball
1|Batzarre
1|Bayern
1|Belarus
1|Belgium
1|Berg
1|Berlin
1|Bern
1|Books
1|Bourg-en-Bresse
1|Brazil
1|Breisgau
1|Bremen
1|Brooklyn
2|Brussels
2|Budapest
1|Buenos
1|Calabasas
2|Canada
1|Chemnitz
1|Christchurch
1|Ciba-Geigy
1|Cincinnati
2|City
1|Co-operation
1|Cologne
1|Colombia
1|Communist
1|Company
1|Conakry
1|Construction
1|Copachisa
1|Cornell
1|Corporation
1|Czech
1|Czechoslovakia
2|Delhi
10|Democratic
1|Department
1|Detroit,
1|Domingo
1|Dortmund
1|Düren
1|Ektron
1|Elemento
1|Energetický
1|Engineering
6|England
1|Entertainment
1|Essential
4|Europe
4|European
1|FC
1|Factum
1|Fascist
1|Fiat
1|Finnish
1|Fire
1|Fort
1|Foundation
3|France
1|Frankfurt
2|Free
1|Freiburg
1|Gateshead
1|Gdańsk
1|General
3|German
8|Germany
1|Grand-Quevilly
2|Group
1|Group,
1|Grove
78|HQ
1|Hamburg,
1|Hamé
1|Hanseatic
1|Harvard
2|Health
1|Heidelberg
1|Helsinki
1|Holstein
1|Hounslow
1|Hungary
1|Industries
1|Initiative,
1|Inspiration
2|Institute
1|Irish
1|Istanbul
1|Italy
1|Janeiro
3|Japan
1|Kaliningrad,
1|Katowice
1|Kaunas
1|Kendall-Jackson
1|Kettering
1|Kingdom
1|Kota
1|Kraków
1|Kumho
1|Laboratory
1|Lake
1|Larnaca,
1|Le
2|League
3|Left
1|Liberal
1|Liesing
2|Linz
1|Ljubljana,
4|London
3|Los
1|Louis-le-Grand
1|Lycée
1|Madrid
1|Mainz
1|Major
1|Marquesa
1|Mars
1|Marvelous
1|Medicines
1|Minneapolis
7|Moscow
1|Motors
1|Munich
1|Music
1|München
5|National
1|Nations
1|Navy
1|Nazi
1|Nefesh
1|Netherlands
1|Neustadt
1|New
1|North
1|Norton
1|Nuclear
2|Occupational
1|Omsk
1|Onex
2|Organization
1|Out
1|Palacio
1|Paphos
2|Paris
17|Party
1|Party.PDS
1|Peterborough
1|Poland
1|Polish
1|Portland,
3|Prague,
1|Press
1|Progress
1|Reaching
1|Reds
1|Republic
1|Republican
1|Research
1|Revolutionary
1|Rio
1|Romania
1|Romanian
2|Rome
2|Rome,
1|Royal
3|Russia
1|Rutherford
1|S.p.A.
1|Sacramento
2|Safety
1|Saint-Pé-de-Bigorre
1|Salt
1|Santo
1|Sciences
1|Security
1|Senegal
1|Sensible
1|Serbia
1|Shanghai
1|Shanghai,
1|Shostka
4|Social
1|Socialist
1|Sofia,
1|Software
1|Solodev
1|Sonora
1|Space
3|Spain
13|States
1|Students
1|Swansea
1|Sweden
1|Swedish
1|Székesfehérvár,
1|Tallinn
1|Tango
1|Technōs
1|Terni
1|Thailand
1|The
1|Tokyo
1|Toronto
1|Tournai
1|Transport
1|Trax
2|Turkey
1|Turku
1|Ulm,
3|Union
16|United
1|Universities
5|University
1|Uruguay
1|Varg
1|Veum
2|W.
1|Walsall
1|Warner
28|Where
172|Which
2|Workers'
1|Worth
2|Wrocław
1|Yemen
1|a
29|administrative
26|and
8|are
1|arrondissement
1|assembly
134|at
3|authority
1|bank
1|body
3|building
12|business
2|city
1|class
1|clubs
1|company
3|de
2|divisions
4|enterprise
2|enterprises
12|for
1|governing
4|group
18|groups
32|has
102|have
50|head
29|headquarter
20|headquarters
1|holding
2|human
1|im
2|in
1|international
58|is
1|item
16|its
1|la
47|located
69|location
1|locations
1|military
1|ministry
1|multiple
1|non-governmental
3|nonprofit
1|objects
85|of
47|office
3|offices
1|organ
14|organization
73|organizations
2|organs
6|political
23|principal
3|professions
1|průmyslový
23|seat
1|settlement
1|settlements
1|size
22|social
1|sport
1|sports
1|stations
1|television
5|territories
25|territory
92|the
45|their
2|thoroughfare
1|transport
1|unit
1|with
1|word
1|Überlingen
1|ČEZ
